time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
3.216,27,4,0,82,15,2,11,5,0,80,16,2,4,7,0,82,16,2,69,8,14,82,22,5
3.232,27,3,0,83,15,2,11,5,0,79,16,2,4,7,0,82,16,2,69,8,14,81,22,5
3.249,27,3,0,83,15,2,11,5,0,79,16,2,4,7,0,83,16,2,69,8,14,81,22,5
3.266,28,2,0,83,15,2,11,5,0,79,16,2,4,6,0,83,16,3,69,9,15,81,23,6
3.283,28,3,0,82,15,2,11,5,0,80,16,2,4,6,0,82,16,3,69,9,15,82,23,6
3.3,28,3,0,81,14,2,11,5,0,80,16,2,4,6,0,82,16,3,68,9,15,82,23,6
3.315,28,3,0,81,14,2,11,5,0,81,16,2,4,6,0,81,15,2,67,9,15,83,23,6
3.333,28,3,0,80,14,2,11,5,0,82,16,2,4,6,0,80,15,2,67,9,14,83,23,6
3.35,28,3,0,80,14,2,12,5,0,82,16,2,5,6,0,80,15,2,66,9,14,84,23,6
3.367,28,6,0,81,15,3,12,5,0,83,16,2,5,6,0,80,15,2,66,9,13,84,23,6
3.383,28,7,0,81,16,4,12,8,0,83,18,8,6,11,1,81,18,5,67,12,14,84,24,9
3.399,29,10,2,83,23,11,14,14,3,83,22,12,6,14,2,82,19,7,68,13,16,84,25,10
3.417,29,12,3,84,27,14,14,17,4,83,23,15,7,19,4,83,22,9,68,12,16,82,27,12
3.434,27,12,3,84,26,14,13,17,4,83,23,15,7,21,5,84,23,10,68,12,16,82,28,13
3.449,26,12,3,84,25,14,13,16,4,82,23,15,7,21,5,85,23,10,69,12,16,81,28,13
3.468,26,11,3,84,25,13,13,17,4,82,23,15,7,21,5,85,23,10,69,12,16,81,28,13
3.482,26,9,3,84,24,12,13,15,4,81,22,12,6,19,4,84,22,9,69,10,15,80,27,11
3.498,26,7,1,83,20,8,12,11,3,81,19,6,6,16,4,84,21,7,69,9,14,80,26,10
3.516,25,5,0,82,16,5,11,8,1,81,17,4,5,11,2,82,19,4,69,8,14,81,24,7
3.533,26,3,0,81,13,2,10,5,0,81,15,2,4,8,1,81,18,3,69,8,14,82,23,6
3.549,27,3,0,81,14,2,11,5,0,81,15,2,4,6,0,80,16,2,69,9,14,83,22,6
